dataset,topology_type,timestep,metagate_selector,metagate_confidence,metagate_mlu,oracle_selector,oracle_mlu,bn_mlu,topk_mlu,sens_mlu,gnn_mlu,correct,t_bn_ms,t_topk_ms,t_sens_ms,t_gnn_ms,t_features_ms,t_mlp_ms,t_lp_ms,t_decision_ms,t_total_ms
abilene,known,446,sensitivity,0.37179505825042725,0.049494186318569215,bottleneck,0.0494941863160262,0.0494941863160262,0.049494186321737,0.0494941863185692,0.049494186393447,0,0.5201670001042658,0.020167000002402347,0.646292000055837,1.982875000066997,0.7782080001561553,0.13549999948736513,25.194834000103583,4.0832089998730225,30.42399999958434
abilene,known,447,sensitivity,0.4527915418148041,0.05104971137538384,bottleneck,0.0510497113559103,0.0510497113559103,0.0510497114937375,0.0510497113753838,0.0510497113559103,0,0.5095420001453022,0.01874999998108251,0.6597080000574351,2.1175419997234712,0.7703329993091756,0.2021670006797649,23.99770800002443,4.278041999896232,29.50037499977043
abilene,known,448,sensitivity,0.40268203616142273,0.05098047743930544,bottleneck,0.050980477304321,0.050980477304321,0.0509804773173657,0.0509804774393054,0.0509804774393054,0,0.5196669999349979,0.020833999769820366,0.6956249999348074,1.9789159996435046,0.7640419999006554,0.14224999995349208,24.574583999310562,4.121333999137278,29.85191700008727
abilene,known,449,topk,0.39056894183158875,0.050139976749573836,sensitivity,0.0501399766839005,0.050139976713686,0.0501399767495738,0.0501399766839005,0.050139976724294,0,0.5757500002800953,0.02562500048952643,0.6505840001409524,2.0047499992870144,0.7405830001516733,0.13462500010064105,25.34616599950823,4.131917000449903,30.74970800025767
abilene,known,450,topk,0.3718148171901703,0.05167422809579142,bottleneck,0.0516742279745895,0.0516742279745895,0.0516742280957914,0.0516742280136952,0.0516742279935593,0,0.5110000001877779,0.019166000129189342,0.699665999491117,1.9118749996778206,0.8518330005244934,0.14458300029218663,25.133125000138534,4.138123000302585,30.445624999629217
abilene,known,451,topk,0.39535921812057495,0.04947723271126561,bottleneck,0.0494772325708093,0.0494772325708093,0.0494772327112656,0.0494772327073715,0.0494772327136757,0,0.5068749997008126,0.01820800025598146,0.6727500003762543,1.9711659997483366,0.7716670006630011,0.15495800016651629,25.342750000163505,4.095624000910902,30.670000000100117
abilene,known,452,topk,0.35634028911590576,0.05002744611700238,bottleneck,0.0500274461073483,0.0500274461073483,0.0500274461170023,0.0500274461137363,0.0500274461137363,0,0.5160000000614673,0.02137500086973887,0.751167000089481,1.9550839997464209,0.8221660000344855,0.14649999957327964,24.89750000040658,4.212292000374873,30.298583999865514
abilene,known,453,topk,0.3760625720024109,0.05089590123503195,bottleneck,0.0508959011253001,0.0508959011253001,0.0508959012350319,0.0508959011433952,0.0508959011858021,0,0.5134580005687894,0.020833000235143118,0.6331670001600287,2.222000000074331,0.8944999999584979,0.17995799953496316,25.86629199959134,4.4639160005317535,31.543667000732967
abilene,known,454,sensitivity,0.3360019326210022,0.050349980780266444,sensitivity,0.0503499807802664,0.0503499807936617,0.0503499807949978,0.0503499807802664,0.0503499807936617,1,0.5196660004003206,0.02420799955871189,0.7132920000003651,2.1492080004463787,0.9665840007073712,0.1512079998065019,27.22391699990112,4.524166000919649,33.13066699956835
abilene,known,455,topk,0.3548755645751953,0.05243417090701358,topk,0.0524341709070135,0.0524341709530747,0.0524341709070135,0.0524341709911252,0.05243417093616,1,0.6031660004737205,0.025083999389607925,0.6889160003993311,2.193958000134444,0.855500000398024,0.15129200073715765,26.23229200071364,4.517916001532285,31.939000000420492
