topology,scenario,k,delay,method,mean_mlu,p95_mlu,peak_mlu,overload_0p7,overload_0p9,mean_disturb,mean_decision_ms,delta_mean_pct,delta_p95_pct,delta_peak_pct,delta_overload_0p7,delta_overload_0p9,delta_disturb_pct,n_steps
abilene,flash_crowd,20,1,oracle,0.053196,0.060088,0.062052,0,0,0.038366,40.34,-8.250,-12.963,-15.756,0,0,-58.651,51
abilene,flash_crowd,20,2,reactive,0.060577,0.073295,0.075547,0,0,0.092785,33.18,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,flash_crowd,20,2,predictive,0.053430,0.060728,0.062999,0,0,0.034733,33.67,-11.798,-17.146,-16.609,0,0,-62.566,51
abilene,flash_crowd,20,2,oracle,0.053462,0.060728,0.062999,0,0,0.039744,33.81,-11.746,-17.146,-16.609,0,0,-57.165,51
abilene,flash_crowd,40,0,reactive,0.052601,0.059781,0.062052,0,0,0.076604,42.86,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,flash_crowd,40,0,predictive,0.052833,0.059781,0.062052,0,0,0.049081,42.89,+0.440,-0.000,-0.000,0,0,-35.929,51
abilene,flash_crowd,40,0,oracle,0.052703,0.059781,0.062052,0,0,0.046118,44.37,+0.194,-0.000,-0.000,0,0,-39.797,51
abilene,flash_crowd,40,1,reactive,0.056892,0.064450,0.101259,0,0,0.076604,37.18,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,flash_crowd,40,1,predictive,0.052856,0.059781,0.062052,0,0,0.051731,38.78,-7.094,-7.245,-38.719,0,0,-32.470,51
abilene,flash_crowd,40,1,oracle,0.052817,0.059781,0.062052,0,0,0.050265,39.18,-7.162,-7.245,-38.719,0,0,-34.383,51
abilene,flash_crowd,40,2,reactive,0.059359,0.068853,0.107698,0,0,0.076604,41.10,+0.000,+0.000,+0.000,0,0,+0.000,51
abilene,flash_crowd,40,2,predictive,0.052928,0.059781,0.062052,0,0,0.047286,41.81,-10.835,-13.176,-42.383,0,0,-38.272,51
abilene,flash_crowd,40,2,oracle,0.052934,0.059781,0.062052,0,0,0.053860,42.19,-10.825,-13.176,-42.383,0,0,-29.690,51
cernet,normal,5,0,reactive,1704.913444,2146.091200,2190.324716,31,11,0.004911,53.81,+0.000,+0.000,+0.000,0,0,+0.000,51
cernet,normal,5,0,predictive,1774.706208,2233.733544,2265.496940,33,11,0.001367,64.36,+4.094,+4.084,+3.432,2,0,-72.170,51
cernet,normal,5,0,oracle,1774.706208,2233.733544,2265.496940,33,11,0.001408,66.10,+4.094,+4.084,+3.432,2,0,-71.328,51
cernet,normal,5,1,reactive,1702.985932,2143.672385,2192.678471,31,9,0.004911,44.51,+0.000,+0.000,+0.000,0,0,+0.000,51
cernet,normal,5,1,predictive,1770.587938,2227.976730,2265.496940,33,10,0.001367,53.48,+3.970,+3.933,+3.321,2,1,-72.170,51
cernet,normal,5,1,oracle,1770.587938,2227.976730,2265.496940,33,10,0.001356,51.34,+3.970,+3.933,+3.321,2,1,-72.388,51
cernet,normal,5,2,reactive,1698.760208,2139.292929,2165.049865,32,10,0.004911,48.38,+0.000,+0.000,+0.000,0,0,+0.000,51
cernet,normal,5,2,predictive,1767.382103,2218.416714,2236.200114,34,12,0.001367,56.50,+4.040,+3.699,+3.286,2,2,-72.170,51
cernet,normal,5,2,oracle,1767.382103,2218.416714,2236.200114,34,12,0.001350,56.25,+4.040,+3.699,+3.286,2,2,-72.506,51
cernet,normal,10,0,reactive,1664.883994,2090.283983,2135.667103,30,12,0.009080,45.53,+0.000,+0.000,+0.000,0,0,+0.000,51
cernet,normal,10,0,predictive,1774.706208,2233.733544,2265.496940,33,11,0.005124,53.76,+6.596,+6.863,+6.079,3,-1,-43.565,51
cernet,normal,10,0,oracle,1774.706208,2233.733544,2265.496940,33,11,0.005150,53.18,+6.596,+6.863,+6.079,3,-1,-43.277,51
cernet,normal,10,1,reactive,1664.275593,2094.804273,2107.620130,34,12,0.009080,45.71,+0.000,+0.000,+0.000,0,0,+0.000,51
cernet,normal,10,1,predictive,1770.587938,2227.976730,2265.496940,33,10,0.005113,54.67,+6.388,+6.357,+7.491,-1,-2,-43.689,51
cernet,normal,10,1,oracle,1770.587938,2227.976730,2265.496940,33,10,0.005244,55.93,+6.388,+6.357,+7.491,-1,-2,-42.249,51
cernet,normal,10,2,reactive,1660.432219,2072.119979,2100.409224,34,13,0.009080,39.18,+0.000,+0.000,+0.000,0,0,+0.000,51
cernet,normal,10,2,predictive,1767.382103,2218.416714,2236.200114,34,12,0.005144,46.13,+6.441,+7.060,+6.465,0,-1,-43.351,51
cernet,normal,10,2,oracle,1767.382103,2218.416714,2236.200114,34,12,0.005032,45.07,+6.441,+7.060,+6.465,0,-1,-44.580,51
cernet,normal,20,0,reactive,1613.274086,2028.180540,2040.419864,33,11,0.016585,41.35,+0.000,+0.000,+0.000,0,0,+0.000,51
cernet,normal,20,0,predictive,1774.706208,2233.733544,2265.496940,33,11,0.011357,49.74,+10.006,+10.135,+11.031,0,0,-31.518,51
cernet,normal,20,0,oracle,1774.706208,2233.733544,2265.496940,33,11,0.011814,49.28,+10.006,+10.135,+11.031,0,0,-28.769,51
cernet,normal,20,1,reactive,1615.426954,2027.510210,2069.594196,33,9,0.016585,35.38,+0.000,+0.000,+0.000,0,0,+0.000,51
cernet,normal,20,1,predictive,1770.587938,2227.976730,2265.496940,33,10,0.011395,41.84,+9.605,+9.887,+9.466,0,1,-31.294,51
cernet,normal,20,1,oracle,1770.587938,2227.976730,2265.496940,33,10,0.011681,41.51,+9.605,+9.887,+9.466,0,1,-29.567,51
cernet,normal,20,2,reactive,1611.091765,1997.436834,2034.634100,34,10,0.016585,37.04,+0.000,+0.000,+0.000,0,0,+0.000,51
cernet,normal,20,2,predictive,1767.382103,2218.416714,2236.200114,34,12,0.011482,44.49,+9.701,+11.063,+9.907,0,2,-30.769,51
cernet,normal,20,2,oracle,1767.382103,2218.416714,2236.200114,34,12,0.011671,43.90,+9.701,+11.063,+9.907,0,2,-29.628,51
cernet,normal,40,0,reactive,1549.785446,1942.184386,1954.383103,36,11,0.029304,45.53,+0.000,+0.000,+0.000,0,0,+0.000,51
cernet,normal,40,0,predictive,1772.301724,2233.733544,2265.496940,33,11,0.017039,52.65,+14.358,+15.011,+15.919,-3,0,-41.853,51
cernet,normal,40,0,oracle,1772.687586,2233.733544,2265.496940,33,11,0.016938,53.03,+14.383,+15.011,+15.919,-3,0,-42.201,51
cernet,normal,40,1,reactive,1556.910154,1927.520383,1984.692220,34,10,0.029304,78.17,+0.000,+0.000,+0.000,0,0,+0.000,51
cernet,normal,40,1,predictive,1768.527145,2227.976730,2265.496940,32,10,0.016515,84.95,+13.592,+15.588,+14.149,-2,0,-43.644,51
cernet,normal,40,1,oracle,1768.527145,2227.976730,2265.496940,32,10,0.016453,100.78,+13.592,+15.588,+14.149,-2,0,-43.856,51
cernet,normal,40,2,reactive,1552.715160,1919.370206,1951.754177,37,11,0.029304,104.25,+0.000,+0.000,+0.000,0,0,+0.000,51
cernet,normal,40,2,predictive,1765.316196,2218.416714,2236.200114,34,12,0.016613,111.61,+13.692,+15.580,+14.574,-3,1,-43.309,51
cernet,normal,40,2,oracle,1764.905754,2218.416714,2236.200114,34,12,0.016500,115.57,+13.666,+15.580,+14.574,-3,1,-43.694,51
cernet,spike_2x,5,0,reactive,1700.501008,2146.091200,2190.324716,31,10,0.004914,63.20,+0.000,+0.000,+0.000,0,0,+0.000,51
cernet,spike_2x,5,0,predictive,1790.087316,2263.203391,2338.902665,29,12,0.001365,76.10,+5.268,+5.457,+6.783,-2,2,-72.223,51
cernet,spike_2x,5,0,oracle,1790.087316,2263.203391,2338.902665,29,12,0.001406,76.75,+5.268,+5.457,+6.783,-2,2,-71.387,51
cernet,spike_2x,5,1,reactive,1699.291713,2143.672385,2192.678471,31,8,0.004914,59.71,+0.000,+0.000,+0.000,0,0,+0.000,51
