topology,scenario,k,delay,verdict,delta_mean_pct,delta_p95_pct,delta_peak_pct,delta_overload_07,delta_overload_09,delta_disturb_pct,wins_metrics,losses_metrics,oracle_delta_mean_pct
cernet,normal,20,2,LOSS,+9.701,+11.063,+9.907,0,2,-30.769,,mean+p95+peak+overload09,+9.701
cernet,normal,40,0,WIN,+14.358,+15.011,+15.919,-3,0,-41.853,overload07,mean+p95+peak,+14.383
cernet,normal,40,1,WIN,+13.592,+15.588,+14.149,-2,0,-43.644,overload07,mean+p95+peak,+13.592
cernet,normal,40,2,WIN,+13.692,+15.580,+14.574,-3,1,-43.309,overload07,mean+p95+peak+overload09,+13.666
cernet,ramp_up,5,0,LOSS,+9.313,+4.191,+3.432,17,6,-67.802,,mean+p95+peak+overload07+overload09,+9.313
cernet,ramp_up,5,1,LOSS,+9.206,+4.309,+3.321,17,5,-67.802,,mean+p95+peak+overload07+overload09,+9.206
cernet,ramp_up,5,2,LOSS,+9.382,+4.355,+7.667,9,1,-67.802,,mean+p95+peak+overload07+overload09,+9.382
cernet,ramp_up,10,0,LOSS,+12.074,+6.973,+6.079,17,5,-15.507,,mean+p95+peak+overload07+overload09,+12.074
cernet,ramp_up,10,1,LOSS,+11.824,+6.624,+7.491,14,3,-15.693,,mean+p95+peak+overload07+overload09,+11.824
cernet,ramp_up,10,2,LOSS,+11.971,+7.911,+10.981,7,0,-15.188,,mean+p95+peak+overload07,+11.971
cernet,ramp_up,20,0,LOSS,+14.954,+10.068,+11.031,11,3,-33.613,,mean+p95+peak+overload07+overload09,+14.954
cernet,ramp_up,20,1,LOSS,+14.377,+10.014,+9.466,15,5,-35.464,,mean+p95+peak+overload07+overload09,+14.377
cernet,ramp_up,20,2,LOSS,+14.552,+11.579,+14.569,2,1,-33.895,,mean+p95+peak+overload07+overload09,+14.552
cernet,ramp_up,40,0,LOSS,+18.170,+15.130,+15.919,3,3,-30.735,,mean+p95+peak+overload07+overload09,+18.194
cernet,ramp_up,40,1,LOSS,+17.423,+15.814,+14.149,5,5,-29.215,,mean+p95+peak+overload07+overload09,+17.423
cernet,ramp_up,40,2,WIN,+17.630,+16.411,+19.434,-6,1,-31.542,overload07,mean+p95+peak+overload09,+17.605
cernet,spike_2x,5,0,WIN,+5.268,+5.457,+6.783,-2,2,-72.223,overload07,mean+p95+peak+overload09,+5.268
cernet,spike_2x,5,1,WIN,+5.101,+5.576,+6.669,-2,3,-72.223,overload07,mean+p95+peak+overload09,+5.101
cernet,spike_2x,5,2,WIN,+5.071,+4.633,+6.335,-3,1,-72.223,overload07,mean+p95+peak+overload09,+5.071
cernet,spike_2x,10,0,WIN,+7.802,+8.273,+9.516,-1,1,-45.042,overload07,mean+p95+peak+overload09,+7.802
cernet,spike_2x,10,1,WIN,+7.583,+7.690,+10.835,-5,1,-45.163,overload07,mean+p95+peak+overload09,+7.583
cernet,spike_2x,10,2,WIN,+7.640,+8.515,+11.355,-5,-1,-44.834,overload07+overload09,mean+p95+peak,+7.640
cernet,spike_2x,20,0,WIN,+10.844,+11.688,+14.628,-4,1,-32.466,overload07,mean+p95+peak+overload09,+10.844
cernet,spike_2x,20,1,WIN,+10.467,+12.038,+13.013,-4,2,-32.934,overload07,mean+p95+peak+overload09,+10.467
cernet,spike_2x,20,2,WIN,+10.564,+12.611,+14.954,-5,0,-32.420,overload07,mean+p95+peak,+10.564
cernet,spike_2x,40,0,WIN,+15.017,+15.919,+19.524,-7,0,-42.692,overload07,mean+p95+peak,+15.042
cernet,spike_2x,40,1,WIN,+14.159,+16.632,+17.847,-5,0,-44.176,overload07,mean+p95+peak,+14.159
cernet,spike_2x,40,2,WIN,+14.231,+16.627,+19.836,-8,-3,-44.093,overload07+overload09,mean+p95+peak,+14.205
ebone,flash_crowd,5,0,TIE,+0.566,+0.804,+1.529,0,0,+1.086,,,+0.672
ebone,flash_crowd,5,1,WIN,+0.364,+0.804,+3.664,-2,-1,+4.092,overload07+overload09,peak,+0.352
ebone,flash_crowd,5,2,WIN,+0.313,+0.299,+3.934,-3,-3,+4.525,overload07+overload09,peak,+0.024
ebone,flash_crowd,10,0,TIE,+0.569,+0.498,+0.000,0,0,-5.109,,,+0.684
